root_time,mass_uptake
14.38749,33558.3264
14.40486,33554.53003
14.42221,33550.73365
14.43953,33546.93728
14.45683,33543.1409
14.47411,33539.88687
14.49138,33536.63283
14.50862,33533.92113
14.52584,33531.20944
14.54304,33529.04008
14.56022,33526.32839
14.57738,33524.15903
14.59452,33521.44733
14.61164,33519.27797
14.62874,33516.56628
14.64582,33514.39692
14.66288,33512.22756
14.67992,33510.05821
14.69694,33507.88885
14.71394,33505.71949
14.73092,33503.0078
14.74788,33500.83844
14.76482,33498.66908
14.78175,33495.95739
14.79865,33493.78803
14.81553,33491.61867
14.8324,33488.90698
14.84924,33486.73762
14.86607,33484.56826
14.88288,33482.39891
14.89966,33479.68721
14.91643,33477.51785
14.93318,33475.34849
14.94992,33473.17914
14.96663,33470.46744
14.98332,33468.29808
15,33466.12873
15.01666,33463.95937
15.0333,33461.24767
15.04992,33459.07832
15.06652,33456.36662
15.0831,33454.19726
15.09967,33451.48557
15.11622,33448.77387
15.13275,33446.06217
15.14926,33443.35048
15.16575,33440.63878
15.18223,33437.92709
15.19868,33435.21539
15.21512,33432.50369
15.23155,33429.24966
15.24795,33426.53796
15.26434,33423.28393
15.28071,33420.02989
15.29706,33416.77585
15.31339,33413.52182
15.32971,33409.72544
15.34601,33406.47141
15.36229,33402.67503
15.37856,33399.421
15.3948,33396.16696
15.41104,33392.91293
15.42725,33389.65889
15.44345,33386.9472
15.45962,33384.2355
15.47579,33381.5238
15.49193,33378.81211
15.50806,33375.55807
15.52417,33372.84637
15.54027,33369.59234
15.55635,33366.3383
15.57241,33363.08427
15.58846,33360.37257
15.60449,33358.74555
15.6205,33357.11854
15.6365,33356.5762
15.65248,33356.03386
15.66844,33355.49152
15.68439,33354.94918
15.70032,33354.40684
15.71623,33353.32216
15.73213,33352.77982
15.74802,33351.69514
15.76388,33350.61046
15.77973,33349.52579
15.79557,33348.44111
15.81139,33347.35643
15.82719,33345.72941
15.84298,33344.10239
15.85875,33342.47538
15.87451,33340.84836
15.89025,33339.22134
15.90597,33337.05198
15.92168,33335.42497
15.93738,33333.25561
15.95306,33331.08625
15.96872,33328.91689
15.98437,33326.74754
16,33324.57818
16.01562,33321.86648
16.03122,33319.69713
16.04681,33316.98543
16.06238,33314.27373
16.07794,33311.0197
16.09348,33308.308
16.109,33306.13865
16.12452,33303.96929
16.14001,33301.25759
16.15549,33299.08824
16.17096,33296.37654
16.18641,33293.1225
16.20185,33288.78379
16.21727,33283.90274
16.23268,33279.02168
16.24808,33273.59829
16.26346,33269.25958
16.27882,33264.92086
16.29417,33261.66683
16.30951,33258.41279
16.32483,33255.70109
16.34013,33253.53174
16.35543,33250.82004
16.37071,33248.10834
16.38597,33244.85431
16.40122,33242.14261
16.41646,33238.34624
16.43168,33235.0922
16.44688,33231.83817
16.46208,33228.58413
16.47726,33224.78776
16.49242,33220.99138
16.50757,33217.19501
